"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Create course","LMS service","Wed Jul 01 15:35:42 UTC 2026","passed","Wed Jul 01 15:35:42 UTC 2026","Create entity","Courses","",""
"","14","Get user me","LMS service","Wed Jul 01 15:35:50 UTC 2026","passed","Wed Jul 01 15:35:50 UTC 2026","Get entity","Users","",""
"","16","Get exercises","LMS service","Wed Jul 01 15:35:45 UTC 2026","passed","Wed Jul 01 15:35:45 UTC 2026","Get entities","Exercises","",""
"","15","Get file","LMS service","Wed Jul 01 15:35:46 UTC 2026","passed","Wed Jul 01 15:35:46 UTC 2026","Get entity","Files","",""
"","52","Create file with empty filename","LMS service","Wed Jul 01 15:35:47 UTC 2026","passed","Wed Jul 01 15:35:47 UTC 2026","Validate entity","Files","",""
"","15","Get exercise","LMS service","Wed Jul 01 15:35:44 UTC 2026","passed","Wed Jul 01 15:35:44 UTC 2026","Get entity","Exercises","",""
"","21","Update exercise","LMS service","Wed Jul 01 15:35:43 UTC 2026","passed","Wed Jul 01 15:35:43 UTC 2026","Update entity","Exercises","",""
"","17","Delete exercise","LMS service","Wed Jul 01 15:35:45 UTC 2026","passed","Wed Jul 01 15:35:45 UTC 2026","Delete entity","Exercises","",""
"","273","Create file with empty directory","LMS service","Wed Jul 01 15:35:48 UTC 2026","passed","Wed Jul 01 15:35:48 UTC 2026","Validate entity","Files","",""
"","279","Create file","LMS service","Wed Jul 01 15:35:46 UTC 2026","passed","Wed Jul 01 15:35:46 UTC 2026","Create entity","Files","",""
"","29","Get courses","LMS service","Wed Jul 01 15:35:41 UTC 2026","passed","Wed Jul 01 15:35:41 UTC 2026","Get entities","Courses","",""
"","22","Create exercise","LMS service","Wed Jul 01 15:35:42 UTC 2026","passed","Wed Jul 01 15:35:42 UTC 2026","Create entity","Exercises","",""
"","289","Attempt to create user with email: gmail.com","LMS service","Wed Jul 01 15:35:48 UTC 2026","passed","Wed Jul 01 15:35:49 UTC 2026","Create entity","Users","",""
"","528","Attempt to create user with email: example.com","LMS service","Wed Jul 01 15:35:49 UTC 2026","passed","Wed Jul 01 15:35:49 UTC 2026","Create entity","Users","",""
"","522","Attempt to create user with email: mail.ru","LMS service","Wed Jul 01 15:35:49 UTC 2026","passed","Wed Jul 01 15:35:49 UTC 2026","Create entity","Users","",""
"","306","Update course","LMS service","Wed Jul 01 15:35:41 UTC 2026","passed","Wed Jul 01 15:35:41 UTC 2026","Update entity","Courses","",""
"","23","Delete file","LMS service","Wed Jul 01 15:35:47 UTC 2026","passed","Wed Jul 01 15:35:47 UTC 2026","Delete entity","Files","",""
"","19","Get file with incorrect file id","LMS service","Wed Jul 01 15:35:48 UTC 2026","passed","Wed Jul 01 15:35:48 UTC 2026","Validate entity","Files","",""
"","550","Login with correct email and password","LMS service","Wed Jul 01 15:35:40 UTC 2026","passed","Wed Jul 01 15:35:40 UTC 2026","Login","Authentication","",""
