"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Delete file","LMS service","Wed Jul 01 15:34:02 UTC 2026","passed","Wed Jul 01 15:34:02 UTC 2026","Delete entity","Files","",""
"","15","Get exercise","LMS service","Wed Jul 01 15:33:59 UTC 2026","passed","Wed Jul 01 15:33:59 UTC 2026","Get entity","Exercises","",""
"","23","Update exercise","LMS service","Wed Jul 01 15:33:58 UTC 2026","passed","Wed Jul 01 15:33:58 UTC 2026","Update entity","Exercises","",""
"","551","Login with correct email and password","LMS service","Wed Jul 01 15:33:55 UTC 2026","passed","Wed Jul 01 15:33:55 UTC 2026","Login","Authentication","",""
"","58","Create file","LMS service","Wed Jul 01 15:34:00 UTC 2026","passed","Wed Jul 01 15:34:01 UTC 2026","Create entity","Files","",""
"","26","Create course","LMS service","Wed Jul 01 15:33:57 UTC 2026","passed","Wed Jul 01 15:33:57 UTC 2026","Create entity","Courses","",""
"","17","Get exercises","LMS service","Wed Jul 01 15:34:00 UTC 2026","passed","Wed Jul 01 15:34:00 UTC 2026","Get entities","Exercises","",""
"","264","Get file with incorrect file id","LMS service","Wed Jul 01 15:34:04 UTC 2026","passed","Wed Jul 01 15:34:04 UTC 2026","Validate entity","Files","",""
"","17","Delete exercise","LMS service","Wed Jul 01 15:33:59 UTC 2026","passed","Wed Jul 01 15:33:59 UTC 2026","Delete entity","Exercises","",""
"","293","Get courses","LMS service","Wed Jul 01 15:33:56 UTC 2026","passed","Wed Jul 01 15:33:57 UTC 2026","Get entities","Courses","",""
"","23","Create exercise","LMS service","Wed Jul 01 15:33:58 UTC 2026","passed","Wed Jul 01 15:33:58 UTC 2026","Create entity","Exercises","",""
"","268","Create file with empty filename","LMS service","Wed Jul 01 15:34:03 UTC 2026","passed","Wed Jul 01 15:34:03 UTC 2026","Validate entity","Files","",""
"","500","Attempt to create user with email: mail.ru","LMS service","Wed Jul 01 15:34:03 UTC 2026","passed","Wed Jul 01 15:34:04 UTC 2026","Create entity","Users","",""
"","557","Attempt to create user with email: gmail.com","LMS service","Wed Jul 01 15:34:04 UTC 2026","passed","Wed Jul 01 15:34:05 UTC 2026","Create entity","Users","",""
"","54","Create file with empty directory","LMS service","Wed Jul 01 15:34:03 UTC 2026","passed","Wed Jul 01 15:34:03 UTC 2026","Validate entity","Files","",""
"","15","Get file","LMS service","Wed Jul 01 15:34:02 UTC 2026","passed","Wed Jul 01 15:34:02 UTC 2026","Get entity","Files","",""
"","12","Get user me","LMS service","Wed Jul 01 15:34:05 UTC 2026","passed","Wed Jul 01 15:34:05 UTC 2026","Get entity","Users","",""
"","531","Attempt to create user with email: example.com","LMS service","Wed Jul 01 15:34:04 UTC 2026","passed","Wed Jul 01 15:34:04 UTC 2026","Create entity","Users","",""
"","31","Update course","LMS service","Wed Jul 01 15:33:56 UTC 2026","passed","Wed Jul 01 15:33:56 UTC 2026","Update entity","Courses","",""
