"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","Create file with empty filename","LMS service","Wed Jul 01 14:40:00 UTC 2026","passed","Wed Jul 01 14:40:00 UTC 2026","Validate entity","Files","",""
"","19","Get exercise","LMS service","Wed Jul 01 14:39:57 UTC 2026","passed","Wed Jul 01 14:39:57 UTC 2026","Get entity","Exercises","",""
"","523","Attempt to create user with email: example.com","LMS service","Wed Jul 01 14:40:02 UTC 2026","passed","Wed Jul 01 14:40:02 UTC 2026","Create entity","Users","",""
"","23","Delete file","LMS service","Wed Jul 01 14:40:00 UTC 2026","passed","Wed Jul 01 14:40:00 UTC 2026","Delete entity","Files","",""
"","20","Get exercises","LMS service","Wed Jul 01 14:39:58 UTC 2026","passed","Wed Jul 01 14:39:58 UTC 2026","Get entities","Exercises","",""
"","21","Create exercise","LMS service","Wed Jul 01 14:39:55 UTC 2026","passed","Wed Jul 01 14:39:55 UTC 2026","Create entity","Exercises","",""
"","15","Get user me","LMS service","Wed Jul 01 14:40:03 UTC 2026","passed","Wed Jul 01 14:40:03 UTC 2026","Get entity","Users","",""
"","30","Get courses","LMS service","Wed Jul 01 14:39:54 UTC 2026","passed","Wed Jul 01 14:39:54 UTC 2026","Get entities","Courses","",""
"","23","Delete exercise","LMS service","Wed Jul 01 14:39:58 UTC 2026","passed","Wed Jul 01 14:39:58 UTC 2026","Delete entity","Exercises","",""
"","275","Create file with empty directory","LMS service","Wed Jul 01 14:40:01 UTC 2026","passed","Wed Jul 01 14:40:02 UTC 2026","Validate entity","Files","",""
"","18","Get file with incorrect file id","LMS service","Wed Jul 01 14:40:02 UTC 2026","passed","Wed Jul 01 14:40:02 UTC 2026","Validate entity","Files","",""
"","547","Login with correct email and password","LMS service","Wed Jul 01 14:39:53 UTC 2026","passed","Wed Jul 01 14:39:53 UTC 2026","Login","Authentication","",""
"","290","Attempt to create user with email: gmail.com","LMS service","Wed Jul 01 14:40:02 UTC 2026","passed","Wed Jul 01 14:40:02 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Wed Jul 01 14:39:55 UTC 2026","passed","Wed Jul 01 14:39:55 UTC 2026","Create entity","Courses","",""
"","303","Update course","LMS service","Wed Jul 01 14:39:54 UTC 2026","passed","Wed Jul 01 14:39:54 UTC 2026","Update entity","Courses","",""
"","31","Update exercise","LMS service","Wed Jul 01 14:39:56 UTC 2026","passed","Wed Jul 01 14:39:57 UTC 2026","Update entity","Exercises","",""
"","515","Attempt to create user with email: mail.ru","LMS service","Wed Jul 01 14:40:02 UTC 2026","passed","Wed Jul 01 14:40:02 UTC 2026","Create entity","Users","",""
"","17","Get file","LMS service","Wed Jul 01 14:39:59 UTC 2026","passed","Wed Jul 01 14:39:59 UTC 2026","Get entity","Files","",""
"","278","Create file","LMS service","Wed Jul 01 14:39:59 UTC 2026","passed","Wed Jul 01 14:39:59 UTC 2026","Create entity","Files","",""
