"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","516","Attempt to create user with email: mail.ru","LMS service","Wed Jul 01 05:03:23 UTC 2026","passed","Wed Jul 01 05:03:23 UTC 2026","Create entity","Users","",""
"","17","Delete exercise","LMS service","Wed Jul 01 05:03:19 UTC 2026","passed","Wed Jul 01 05:03:19 UTC 2026","Delete entity","Exercises","",""
"","29","Create course","LMS service","Wed Jul 01 05:03:16 UTC 2026","passed","Wed Jul 01 05:03:16 UTC 2026","Create entity","Courses","",""
"","16","Get exercise","LMS service","Wed Jul 01 05:03:18 UTC 2026","passed","Wed Jul 01 05:03:18 UTC 2026","Get entity","Exercises","",""
"","48","Create file with empty filename","LMS service","Wed Jul 01 05:03:21 UTC 2026","passed","Wed Jul 01 05:03:21 UTC 2026","Validate entity","Files","",""
"","21","Delete file","LMS service","Wed Jul 01 05:03:21 UTC 2026","passed","Wed Jul 01 05:03:21 UTC 2026","Delete entity","Files","",""
"","276","Create file with empty directory","LMS service","Wed Jul 01 05:03:22 UTC 2026","passed","Wed Jul 01 05:03:23 UTC 2026","Validate entity","Files","",""
"","287","Attempt to create user with email: gmail.com","LMS service","Wed Jul 01 05:03:23 UTC 2026","passed","Wed Jul 01 05:03:23 UTC 2026","Create entity","Users","",""
"","19","Get file with incorrect file id","LMS service","Wed Jul 01 05:03:23 UTC 2026","passed","Wed Jul 01 05:03:23 UTC 2026","Validate entity","Files","",""
"","39","Update course","LMS service","Wed Jul 01 05:03:15 UTC 2026","passed","Wed Jul 01 05:03:15 UTC 2026","Update entity","Courses","",""
"","21","Create exercise","LMS service","Wed Jul 01 05:03:17 UTC 2026","passed","Wed Jul 01 05:03:17 UTC 2026","Create entity","Exercises","",""
"","14","Get user me","LMS service","Wed Jul 01 05:03:24 UTC 2026","passed","Wed Jul 01 05:03:24 UTC 2026","Get entity","Users","",""
"","276","Create file","LMS service","Wed Jul 01 05:03:20 UTC 2026","passed","Wed Jul 01 05:03:20 UTC 2026","Create entity","Files","",""
"","21","Update exercise","LMS service","Wed Jul 01 05:03:18 UTC 2026","passed","Wed Jul 01 05:03:18 UTC 2026","Update entity","Exercises","",""
"","529","Attempt to create user with email: example.com","LMS service","Wed Jul 01 05:03:23 UTC 2026","passed","Wed Jul 01 05:03:24 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Wed Jul 01 05:03:19 UTC 2026","passed","Wed Jul 01 05:03:19 UTC 2026","Get entities","Exercises","",""
"","30","Get courses","LMS service","Wed Jul 01 05:03:15 UTC 2026","passed","Wed Jul 01 05:03:15 UTC 2026","Get entities","Courses","",""
"","14","Get file","LMS service","Wed Jul 01 05:03:20 UTC 2026","passed","Wed Jul 01 05:03:20 UTC 2026","Get entity","Files","",""
"","552","Login with correct email and password","LMS service","Wed Jul 01 05:03:14 UTC 2026","passed","Wed Jul 01 05:03:15 UTC 2026","Login","Authentication","",""
