"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user me","LMS service","Thu Jul 02 02:42:15 UTC 2026","passed","Thu Jul 02 02:42:15 UTC 2026","Get entity","Users","",""
"","20","Get file with incorrect file id","LMS service","Thu Jul 02 02:42:14 UTC 2026","passed","Thu Jul 02 02:42:14 UTC 2026","Validate entity","Files","",""
"","26","Create course","LMS service","Thu Jul 02 02:42:07 UTC 2026","passed","Thu Jul 02 02:42:07 UTC 2026","Create entity","Courses","",""
"","273","Create file","LMS service","Thu Jul 02 02:42:11 UTC 2026","passed","Thu Jul 02 02:42:11 UTC 2026","Create entity","Files","",""
"","17","Delete exercise","LMS service","Thu Jul 02 02:42:10 UTC 2026","passed","Thu Jul 02 02:42:10 UTC 2026","Delete entity","Exercises","",""
"","21","Delete file","LMS service","Thu Jul 02 02:42:12 UTC 2026","passed","Thu Jul 02 02:42:12 UTC 2026","Delete entity","Files","",""
"","288","Attempt to create user with email: gmail.com","LMS service","Thu Jul 02 02:42:14 UTC 2026","passed","Thu Jul 02 02:42:14 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Thu Jul 02 02:42:10 UTC 2026","passed","Thu Jul 02 02:42:10 UTC 2026","Get entities","Exercises","",""
"","532","Attempt to create user with email: example.com","LMS service","Thu Jul 02 02:42:14 UTC 2026","passed","Thu Jul 02 02:42:14 UTC 2026","Create entity","Users","",""
"","32","Update course","LMS service","Thu Jul 02 02:42:06 UTC 2026","passed","Thu Jul 02 02:42:06 UTC 2026","Update entity","Courses","",""
"","280","Login with correct email and password","LMS service","Thu Jul 02 02:42:05 UTC 2026","passed","Thu Jul 02 02:42:05 UTC 2026","Login","Authentication","",""
"","22","Create exercise","LMS service","Thu Jul 02 02:42:07 UTC 2026","passed","Thu Jul 02 02:42:07 UTC 2026","Create entity","Exercises","",""
"","22","Update exercise","LMS service","Thu Jul 02 02:42:09 UTC 2026","passed","Thu Jul 02 02:42:09 UTC 2026","Update entity","Exercises","",""
"","49","Create file with empty filename","LMS service","Thu Jul 02 02:42:12 UTC 2026","passed","Thu Jul 02 02:42:12 UTC 2026","Validate entity","Files","",""
"","512","Attempt to create user with email: mail.ru","LMS service","Thu Jul 02 02:42:14 UTC 2026","passed","Thu Jul 02 02:42:14 UTC 2026","Create entity","Users","",""
"","24","Get courses","LMS service","Thu Jul 02 02:42:06 UTC 2026","passed","Thu Jul 02 02:42:06 UTC 2026","Get entities","Courses","",""
"","14","Get file","LMS service","Thu Jul 02 02:42:11 UTC 2026","passed","Thu Jul 02 02:42:11 UTC 2026","Get entity","Files","",""
"","271","Create file with empty directory","LMS service","Thu Jul 02 02:42:13 UTC 2026","passed","Thu Jul 02 02:42:14 UTC 2026","Validate entity","Files","",""
"","18","Get exercise","LMS service","Thu Jul 02 02:42:09 UTC 2026","passed","Thu Jul 02 02:42:09 UTC 2026","Get entity","Exercises","",""
