"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","531","Attempt to create user with email: example.com","LMS service","Wed Jul 01 15:32:06 UTC 2026","passed","Wed Jul 01 15:32:06 UTC 2026","Create entity","Users","",""
"","507","Attempt to create user with email: mail.ru","LMS service","Wed Jul 01 15:32:05 UTC 2026","passed","Wed Jul 01 15:32:06 UTC 2026","Create entity","Users","",""
"","30","Create course","LMS service","Wed Jul 01 15:31:59 UTC 2026","passed","Wed Jul 01 15:31:59 UTC 2026","Create entity","Courses","",""
"","22","Create exercise","LMS service","Wed Jul 01 15:31:59 UTC 2026","passed","Wed Jul 01 15:31:59 UTC 2026","Create entity","Exercises","",""
"","555","Login with correct email and password","LMS service","Wed Jul 01 15:31:56 UTC 2026","passed","Wed Jul 01 15:31:57 UTC 2026","Login","Authentication","",""
"","24","Update exercise","LMS service","Wed Jul 01 15:32:00 UTC 2026","passed","Wed Jul 01 15:32:00 UTC 2026","Update entity","Exercises","",""
"","20","Delete exercise","LMS service","Wed Jul 01 15:32:01 UTC 2026","passed","Wed Jul 01 15:32:01 UTC 2026","Delete entity","Exercises","",""
"","26","Get courses","LMS service","Wed Jul 01 15:31:58 UTC 2026","passed","Wed Jul 01 15:31:58 UTC 2026","Get entities","Courses","",""
"","272","Create file with empty directory","LMS service","Wed Jul 01 15:32:05 UTC 2026","passed","Wed Jul 01 15:32:05 UTC 2026","Validate entity","Files","",""
"","272","Create file","LMS service","Wed Jul 01 15:32:02 UTC 2026","passed","Wed Jul 01 15:32:03 UTC 2026","Create entity","Files","",""
"","13","Get file with incorrect file id","LMS service","Wed Jul 01 15:32:05 UTC 2026","passed","Wed Jul 01 15:32:05 UTC 2026","Validate entity","Files","",""
"","18","Get exercise","LMS service","Wed Jul 01 15:32:00 UTC 2026","passed","Wed Jul 01 15:32:00 UTC 2026","Get entity","Exercises","",""
"","14","Get file","LMS service","Wed Jul 01 15:32:03 UTC 2026","passed","Wed Jul 01 15:32:03 UTC 2026","Get entity","Files","",""
"","14","Get user me","LMS service","Wed Jul 01 15:32:07 UTC 2026","passed","Wed Jul 01 15:32:07 UTC 2026","Get entity","Users","",""
"","17","Get exercises","LMS service","Wed Jul 01 15:32:02 UTC 2026","passed","Wed Jul 01 15:32:02 UTC 2026","Get entities","Exercises","",""
"","289","Attempt to create user with email: gmail.com","LMS service","Wed Jul 01 15:32:05 UTC 2026","passed","Wed Jul 01 15:32:06 UTC 2026","Create entity","Users","",""
"","51","Create file with empty filename","LMS service","Wed Jul 01 15:32:04 UTC 2026","passed","Wed Jul 01 15:32:04 UTC 2026","Validate entity","Files","",""
"","302","Update course","LMS service","Wed Jul 01 15:31:57 UTC 2026","passed","Wed Jul 01 15:31:58 UTC 2026","Update entity","Courses","",""
"","22","Delete file","LMS service","Wed Jul 01 15:32:04 UTC 2026","passed","Wed Jul 01 15:32:04 UTC 2026","Delete entity","Files","",""
