"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Get exercises","LMS service","Wed Jul 01 15:28:57 UTC 2026","passed","Wed Jul 01 15:28:57 UTC 2026","Get entities","Exercises","",""
"","27","Update exercise","LMS service","Wed Jul 01 15:28:55 UTC 2026","passed","Wed Jul 01 15:28:55 UTC 2026","Update entity","Exercises","",""
"","534","Attempt to create user with email: example.com","LMS service","Wed Jul 01 15:29:01 UTC 2026","passed","Wed Jul 01 15:29:01 UTC 2026","Create entity","Users","",""
"","291","Attempt to create user with email: gmail.com","LMS service","Wed Jul 01 15:29:00 UTC 2026","passed","Wed Jul 01 15:29:01 UTC 2026","Create entity","Users","",""
"","17","Get file with incorrect file id","LMS service","Wed Jul 01 15:29:00 UTC 2026","passed","Wed Jul 01 15:29:00 UTC 2026","Validate entity","Files","",""
"","15","Get file","LMS service","Wed Jul 01 15:28:58 UTC 2026","passed","Wed Jul 01 15:28:58 UTC 2026","Get entity","Files","",""
"","32","Update course","LMS service","Wed Jul 01 15:28:53 UTC 2026","passed","Wed Jul 01 15:28:53 UTC 2026","Update entity","Courses","",""
"","512","Attempt to create user with email: mail.ru","LMS service","Wed Jul 01 15:29:00 UTC 2026","passed","Wed Jul 01 15:29:01 UTC 2026","Create entity","Users","",""
"","49","Create file with empty filename","LMS service","Wed Jul 01 15:28:59 UTC 2026","passed","Wed Jul 01 15:28:59 UTC 2026","Validate entity","Files","",""
"","26","Create exercise","LMS service","Wed Jul 01 15:28:54 UTC 2026","passed","Wed Jul 01 15:28:54 UTC 2026","Create entity","Exercises","",""
"","22","Delete file","LMS service","Wed Jul 01 15:28:59 UTC 2026","passed","Wed Jul 01 15:28:59 UTC 2026","Delete entity","Files","",""
"","19","Get exercise","LMS service","Wed Jul 01 15:28:55 UTC 2026","passed","Wed Jul 01 15:28:55 UTC 2026","Get entity","Exercises","",""
"","29","Create course","LMS service","Wed Jul 01 15:28:54 UTC 2026","passed","Wed Jul 01 15:28:54 UTC 2026","Create entity","Courses","",""
"","27","Delete exercise","LMS service","Wed Jul 01 15:28:57 UTC 2026","passed","Wed Jul 01 15:28:57 UTC 2026","Delete entity","Exercises","",""
"","283","Login with correct email and password","LMS service","Wed Jul 01 15:28:52 UTC 2026","passed","Wed Jul 01 15:28:52 UTC 2026","Login","Authentication","",""
"","28","Get courses","LMS service","Wed Jul 01 15:28:53 UTC 2026","passed","Wed Jul 01 15:28:53 UTC 2026","Get entities","Courses","",""
"","276","Create file","LMS service","Wed Jul 01 15:28:58 UTC 2026","passed","Wed Jul 01 15:28:58 UTC 2026","Create entity","Files","",""
"","275","Create file with empty directory","LMS service","Wed Jul 01 15:29:00 UTC 2026","passed","Wed Jul 01 15:29:00 UTC 2026","Validate entity","Files","",""
"","15","Get user me","LMS service","Wed Jul 01 15:29:02 UTC 2026","passed","Wed Jul 01 15:29:02 UTC 2026","Get entity","Users","",""
