"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Update course","LMS service","Wed Jul 01 14:36:25 UTC 2026","passed","Wed Jul 01 14:36:25 UTC 2026","Update entity","Courses","",""
"","267","Get file with incorrect file id","LMS service","Wed Jul 01 14:36:33 UTC 2026","passed","Wed Jul 01 14:36:33 UTC 2026","Validate entity","Files","",""
"","558","Attempt to create user with email: gmail.com","LMS service","Wed Jul 01 14:36:33 UTC 2026","passed","Wed Jul 01 14:36:34 UTC 2026","Create entity","Users","",""
"","18","Get exercises","LMS service","Wed Jul 01 14:36:30 UTC 2026","passed","Wed Jul 01 14:36:30 UTC 2026","Get entities","Exercises","",""
"","59","Create file","LMS service","Wed Jul 01 14:36:30 UTC 2026","passed","Wed Jul 01 14:36:30 UTC 2026","Create entity","Files","",""
"","19","Delete exercise","LMS service","Wed Jul 01 14:36:29 UTC 2026","passed","Wed Jul 01 14:36:29 UTC 2026","Delete entity","Exercises","",""
"","24","Create exercise","LMS service","Wed Jul 01 14:36:27 UTC 2026","passed","Wed Jul 01 14:36:27 UTC 2026","Create entity","Exercises","",""
"","294","Get courses","LMS service","Wed Jul 01 14:36:26 UTC 2026","passed","Wed Jul 01 14:36:26 UTC 2026","Get entities","Courses","",""
"","16","Get file","LMS service","Wed Jul 01 14:36:31 UTC 2026","passed","Wed Jul 01 14:36:31 UTC 2026","Get entity","Files","",""
"","21","Get exercise","LMS service","Wed Jul 01 14:36:28 UTC 2026","passed","Wed Jul 01 14:36:29 UTC 2026","Get entity","Exercises","",""
"","28","Create course","LMS service","Wed Jul 01 14:36:26 UTC 2026","passed","Wed Jul 01 14:36:26 UTC 2026","Create entity","Courses","",""
"","21","Delete file","LMS service","Wed Jul 01 14:36:31 UTC 2026","passed","Wed Jul 01 14:36:31 UTC 2026","Delete entity","Files","",""
"","498","Attempt to create user with email: mail.ru","LMS service","Wed Jul 01 14:36:32 UTC 2026","passed","Wed Jul 01 14:36:33 UTC 2026","Create entity","Users","",""
"","532","Attempt to create user with email: example.com","LMS service","Wed Jul 01 14:36:33 UTC 2026","passed","Wed Jul 01 14:36:33 UTC 2026","Create entity","Users","",""
"","26","Update exercise","LMS service","Wed Jul 01 14:36:27 UTC 2026","passed","Wed Jul 01 14:36:27 UTC 2026","Update entity","Exercises","",""
"","268","Create file with empty filename","LMS service","Wed Jul 01 14:36:32 UTC 2026","passed","Wed Jul 01 14:36:32 UTC 2026","Validate entity","Files","",""
"","54","Create file with empty directory","LMS service","Wed Jul 01 14:36:32 UTC 2026","passed","Wed Jul 01 14:36:32 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Wed Jul 01 14:36:34 UTC 2026","passed","Wed Jul 01 14:36:34 UTC 2026","Get entity","Users","",""
"","549","Login with correct email and password","LMS service","Wed Jul 01 14:36:24 UTC 2026","passed","Wed Jul 01 14:36:25 UTC 2026","Login","Authentication","",""
