"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get file with incorrect file id","LMS service","Wed Jul 01 15:38:50 UTC 2026","passed","Wed Jul 01 15:38:50 UTC 2026","Validate entity","Files","",""
"","29","Create course","LMS service","Wed Jul 01 15:38:44 UTC 2026","passed","Wed Jul 01 15:38:44 UTC 2026","Create entity","Courses","",""
"","12","Get user me","LMS service","Wed Jul 01 15:38:52 UTC 2026","passed","Wed Jul 01 15:38:52 UTC 2026","Get entity","Users","",""
"","287","Attempt to create user with email: gmail.com","LMS service","Wed Jul 01 15:38:51 UTC 2026","passed","Wed Jul 01 15:38:51 UTC 2026","Create entity","Users","",""
"","27","Update course","LMS service","Wed Jul 01 15:38:43 UTC 2026","passed","Wed Jul 01 15:38:43 UTC 2026","Update entity","Courses","",""
"","533","Attempt to create user with email: example.com","LMS service","Wed Jul 01 15:38:51 UTC 2026","passed","Wed Jul 01 15:38:51 UTC 2026","Create entity","Users","",""
"","22","Delete file","LMS service","Wed Jul 01 15:38:49 UTC 2026","passed","Wed Jul 01 15:38:49 UTC 2026","Delete entity","Files","",""
"","15","Get exercises","LMS service","Wed Jul 01 15:38:47 UTC 2026","passed","Wed Jul 01 15:38:47 UTC 2026","Get entities","Exercises","",""
"","20","Create exercise","LMS service","Wed Jul 01 15:38:44 UTC 2026","passed","Wed Jul 01 15:38:44 UTC 2026","Create entity","Exercises","",""
"","23","Get courses","LMS service","Wed Jul 01 15:38:43 UTC 2026","passed","Wed Jul 01 15:38:43 UTC 2026","Get entities","Courses","",""
"","280","Login with correct email and password","LMS service","Wed Jul 01 15:38:42 UTC 2026","passed","Wed Jul 01 15:38:42 UTC 2026","Login","Authentication","",""
"","15","Get file","LMS service","Wed Jul 01 15:38:48 UTC 2026","passed","Wed Jul 01 15:38:48 UTC 2026","Get entity","Files","",""
"","22","Update exercise","LMS service","Wed Jul 01 15:38:46 UTC 2026","passed","Wed Jul 01 15:38:46 UTC 2026","Update entity","Exercises","",""
"","271","Create file with empty directory","LMS service","Wed Jul 01 15:38:50 UTC 2026","passed","Wed Jul 01 15:38:50 UTC 2026","Validate entity","Files","",""
"","52","Create file with empty filename","LMS service","Wed Jul 01 15:38:49 UTC 2026","passed","Wed Jul 01 15:38:49 UTC 2026","Validate entity","Files","",""
"","18","Delete exercise","LMS service","Wed Jul 01 15:38:47 UTC 2026","passed","Wed Jul 01 15:38:47 UTC 2026","Delete entity","Exercises","",""
"","18","Get exercise","LMS service","Wed Jul 01 15:38:46 UTC 2026","passed","Wed Jul 01 15:38:46 UTC 2026","Get entity","Exercises","",""
"","273","Create file","LMS service","Wed Jul 01 15:38:48 UTC 2026","passed","Wed Jul 01 15:38:48 UTC 2026","Create entity","Files","",""
"","513","Attempt to create user with email: mail.ru","LMS service","Wed Jul 01 15:38:51 UTC 2026","passed","Wed Jul 01 15:38:51 UTC 2026","Create entity","Users","",""
