"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","323","Attempt to create user with email: gmail.com","LMS service","Wed Jul 01 15:41:58 UTC 2026","passed","Wed Jul 01 15:41:59 UTC 2026","Create entity","Users","",""
"","22","Delete file","LMS service","Wed Jul 01 15:41:57 UTC 2026","passed","Wed Jul 01 15:41:57 UTC 2026","Delete entity","Files","",""
"","18","Get file with incorrect file id","LMS service","Wed Jul 01 15:41:58 UTC 2026","passed","Wed Jul 01 15:41:58 UTC 2026","Validate entity","Files","",""
"","14","Get user me","LMS service","Wed Jul 01 15:42:00 UTC 2026","passed","Wed Jul 01 15:42:00 UTC 2026","Get entity","Users","",""
"","616","Login with correct email and password","LMS service","Wed Jul 01 15:41:49 UTC 2026","passed","Wed Jul 01 15:41:49 UTC 2026","Login","Authentication","",""
"","18","Delete exercise","LMS service","Wed Jul 01 15:41:54 UTC 2026","passed","Wed Jul 01 15:41:54 UTC 2026","Delete entity","Exercises","",""
"","50","Create file with empty filename","LMS service","Wed Jul 01 15:41:57 UTC 2026","passed","Wed Jul 01 15:41:57 UTC 2026","Validate entity","Files","",""
"","332","Update course","LMS service","Wed Jul 01 15:41:50 UTC 2026","passed","Wed Jul 01 15:41:50 UTC 2026","Update entity","Courses","",""
"","24","Create course","LMS service","Wed Jul 01 15:41:51 UTC 2026","passed","Wed Jul 01 15:41:51 UTC 2026","Create entity","Courses","",""
"","15","Get exercises","LMS service","Wed Jul 01 15:41:54 UTC 2026","passed","Wed Jul 01 15:41:54 UTC 2026","Get entities","Exercises","",""
"","602","Attempt to create user with email: example.com","LMS service","Wed Jul 01 15:41:59 UTC 2026","passed","Wed Jul 01 15:41:59 UTC 2026","Create entity","Users","",""
"","312","Create file with empty directory","LMS service","Wed Jul 01 15:41:58 UTC 2026","passed","Wed Jul 01 15:41:58 UTC 2026","Validate entity","Files","",""
"","15","Get exercise","LMS service","Wed Jul 01 15:41:53 UTC 2026","passed","Wed Jul 01 15:41:53 UTC 2026","Get entity","Exercises","",""
"","571","Attempt to create user with email: mail.ru","LMS service","Wed Jul 01 15:41:58 UTC 2026","passed","Wed Jul 01 15:41:59 UTC 2026","Create entity","Users","",""
"","310","Create file","LMS service","Wed Jul 01 15:41:55 UTC 2026","passed","Wed Jul 01 15:41:55 UTC 2026","Create entity","Files","",""
"","13","Get file","LMS service","Wed Jul 01 15:41:56 UTC 2026","passed","Wed Jul 01 15:41:56 UTC 2026","Get entity","Files","",""
"","20","Update exercise","LMS service","Wed Jul 01 15:41:53 UTC 2026","passed","Wed Jul 01 15:41:53 UTC 2026","Update entity","Exercises","",""
"","20","Create exercise","LMS service","Wed Jul 01 15:41:51 UTC 2026","passed","Wed Jul 01 15:41:51 UTC 2026","Create entity","Exercises","",""
"","26","Get courses","LMS service","Wed Jul 01 15:41:50 UTC 2026","passed","Wed Jul 01 15:41:50 UTC 2026","Get entities","Courses","",""
